event_ordinal,partition,seq,event_key,lost_global_id,cand_global_id,lost_local_id_present,cand_local_id_present,runtime_coordinates_available,runtime_dist_h,runtime_ema_lost,runtime_ema_cand,offline_pair_status,frozen_coordinate_pair_available,classification,reason
25,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|23|79,23,79,True,True,True,1.3921290636,111.6207046509,65.9968795776,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
26,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|23|80,23,80,True,True,True,0.0944478586,111.6207046509,107.7361755371,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
27,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|23|82,23,82,True,True,True,5.7561826706,111.6207046509,98.0045166016,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
28,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|23|88,23,88,True,True,True,6.1448297501,106.5322418213,111.5382003784,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
29,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|23|89,23,89,True,True,True,6.3101892471,106.5322418213,82.4869842529,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
30,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|23|90,23,90,True,True,True,5.2672820091,106.5322418213,158.1492004395,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
31,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|23|91,23,91,True,True,True,1.2389761209,106.5322418213,66.5202636719,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
32,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|23|92,23,92,True,True,True,1.6328994036,106.5322418213,70.8277511597,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
33,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|23|94,23,94,True,True,True,3.2692885399,106.5322418213,83.1123123169,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
34,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|23|95,23,95,True,True,True,6.3965520859,106.5322418213,79.9122238159,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
35,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|23|96,23,96,True,True,True,2.1180481911,106.5322418213,84.3218307495,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
36,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|23|97,23,97,True,True,True,6.3547611237,106.5322418213,92.9169235229,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
37,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|27|40,27,40,True,True,True,5.6282763481,66.1327896118,102.5559234619,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
38,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|27|42,27,42,True,True,True,1.0066041946,66.1327896118,63.8107070923,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
39,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|27|43,27,43,True,True,True,1.0427113771,66.1327896118,66.1826171875,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
40,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|27|44,27,44,True,True,True,6.3279051781,66.1327896118,104.6436691284,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
41,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|27|45,27,45,True,True,True,0.3010415733,66.1327896118,83.3240356445,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
42,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|27|46,27,46,True,True,True,3.274938345,66.1327896118,66.9412918091,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
43,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|29|35,29,35,True,True,True,0.7672530413,73.6739654541,101.5054473877,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
44,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|29|55,29,55,True,True,True,3.7255728245,64.3385543823,70.4155197144,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
45,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|33|64,33,64,True,True,True,7.2489476204,109.8813018799,101.4673233032,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
46,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|38|40,38,40,True,True,True,0.1755405366,111.3935623169,102.5559234619,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
47,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|38|41,38,41,True,True,True,0.3806744218,111.3935623169,117.1602325439,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
48,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|38|43,38,43,True,True,True,4.3730988503,111.0581817627,66.1826171875,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
49,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|43|67,43,67,True,True,True,5.3946976662,57.4356842041,77.0650787354,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
50,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|43|68,43,68,True,True,True,1.3120549917,57.4356842041,81.0860671997,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
51,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|43|70,43,70,True,True,True,1.0796049833,57.4356842041,73.353729248,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
52,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|43|71,43,71,True,True,True,0.5947149992,57.4356842041,54.1726036072,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
53,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|51|70,51,70,True,True,True,1.6410149336,68.7085952759,73.353729248,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
54,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|51|71,51,71,True,True,True,1.3000485897,68.7085952759,54.1726036072,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
55,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|51|72,51,72,True,True,True,1.0167633295,68.7085952759,59.1509017944,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
56,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|54|67,54,67,True,True,True,5.3911881447,52.4145774841,77.0650787354,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
57,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|54|68,54,68,True,True,True,1.5744452477,52.4145774841,81.0860671997,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
58,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|54|70,54,70,True,True,True,1.3486140966,52.4145774841,73.353729248,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
59,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|54|71,54,71,True,True,True,0.8836686015,52.4145774841,54.1726036072,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
60,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|54|72,54,72,True,True,True,0.5909863114,52.4145774841,59.1509017944,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
61,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|57|67,57,67,True,True,True,6.5281581879,50.8792686462,77.0650787354,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
62,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|57|68,57,68,True,True,True,0.5665424466,50.8792686462,81.0860671997,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
63,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|67|70,67,70,True,True,True,5.7514996529,76.9129562378,73.353729248,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
64,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|67|71,67,71,True,True,True,6.0287365913,76.9129562378,54.1726036072,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
65,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|67|72,67,72,True,True,True,5.5924520493,76.9129562378,59.1509017944,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
66,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|67|74,67,74,True,True,True,0.2913478017,76.9129562378,75.5375976562,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
67,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|67|75,67,75,True,True,True,0.0371542722,76.9129562378,76.5958480835,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
68,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|67|84,67,84,True,True,True,5.3911685944,70.0062942505,111.6343307495,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
69,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|67|85,67,85,True,True,True,5.7900772095,70.0062942505,47.7784233093,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
70,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|69|84,69,84,True,True,True,2.8343977928,168.3767700195,111.6343307495,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
71,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|69|90,69,90,True,True,True,2.1469106674,158.0851135254,158.1492004395,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
72,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|70|71,70,71,True,True,True,0.5699819326,72.1164016724,54.1726036072,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
73,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|74|78,74,78,True,True,True,6.2352442741,77.5308151245,82.2588119507,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
74,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|74|80,74,80,True,True,True,6.4239020348,77.5490036011,107.7361755371,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
75,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|74|82,74,82,True,True,True,0.2350334525,77.5490036011,98.0045166016,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
76,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|74|84,74,84,True,True,True,5.8014321327,79.9451980591,111.6343307495,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
77,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|74|85,74,85,True,True,True,6.3821554184,79.9451980591,47.7784233093,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
78,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|78|82,78,82,True,True,True,5.8100104332,82.1907806396,98.0045166016,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
79,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|78|87,78,87,True,True,True,6.2508144379,80.0347366333,110.4828948975,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
80,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|78|88,78,88,True,True,True,6.4920992851,80.0347366333,111.5382003784,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
81,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|7|50,7,50,True,True,True,0.0508574434,346.5637512207,366.9018554688,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
82,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|7|53,7,53,True,True,True,1.7444534302,346.5637512207,386.6142272949,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
83,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|80|88,80,88,True,True,True,6.2465782166,112.7514190674,111.5382003784,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
84,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|80|89,80,89,True,True,True,6.423251152,112.7514190674,82.4869842529,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
85,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|84|87,84,87,True,True,True,5.7305111885,111.3196487427,110.4828948975,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
86,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|84|88,84,88,True,True,True,5.9312624931,111.3196487427,111.5382003784,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
87,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|84|89,84,89,True,True,True,6.054649353,111.3196487427,82.4869842529,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
88,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|84|96,84,96,True,True,True,2.1246464252,106.4793319702,84.3218307495,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
89,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|84|97,84,97,True,True,True,6.3629360199,106.4793319702,92.9169235229,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
90,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|89|105,89,105,True,True,True,0.4360696971,97.3682174683,100.7655792236,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
91,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|89|106,89,106,True,True,True,6.810667038,97.3682174683,64.7184829712,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
92,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|89|107,89,107,True,True,True,3.5628454685,97.3682174683,103.4614868164,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
93,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|89|97,89,97,True,True,True,0.1760200709,84.0570297241,92.9169235229,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
94,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|89|98,89,98,True,True,True,1.6003539562,85.3292617798,83.2189941406,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
95,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|97|102,97,102,True,True,True,1.7642241716,95.1492004395,74.0408935547,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
96,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|99|102,99,102,True,True,True,5.6618924141,105.8565292358,74.0408935547,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
97,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|99|105,99,105,True,True,True,6.7570023537,105.8565292358,100.7655792236,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
98,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|99|106,99,106,True,True,True,1.2439875603,105.8565292358,64.7184829712,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
99,cohort_gap,MOT17-02-SDP,MOT17-02-SDP|99|107,99,107,True,True,True,2.8627285957,105.8565292358,103.4614868164,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
100,cohort_gap,MOT17-04-SDP,MOT17-04-SDP|119|168,119,168,True,True,True,6.6944775581,173.7066192627,229.0854492188,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
101,cohort_gap,MOT17-04-SDP,MOT17-04-SDP|119|169,119,169,True,True,True,2.862983942,173.7066192627,198.7299041748,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
102,cohort_gap,MOT17-04-SDP,MOT17-04-SDP|128|210,128,210,True,True,True,2.9870529175,167.3459777832,124.4183044434,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
103,cohort_gap,MOT17-04-SDP,MOT17-04-SDP|128|212,128,212,True,True,True,0.4864555597,167.3459777832,171.9899291992,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
104,cohort_gap,MOT17-04-SDP,MOT17-04-SDP|141|192,141,192,True,True,True,6.0742692947,145.6230316162,85.7778778076,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
105,cohort_gap,MOT17-04-SDP,MOT17-04-SDP|144|168,144,168,True,True,True,5.7067484856,156.5574798584,229.0854492188,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
106,cohort_gap,MOT17-04-SDP,MOT17-04-SDP|144|169,144,169,True,True,True,5.0989780426,156.5574798584,198.7299041748,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
107,cohort_gap,MOT17-04-SDP,MOT17-04-SDP|144|185,144,185,True,True,True,2.8919141293,134.09425354,135.6901855469,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
108,cohort_gap,MOT17-04-SDP,MOT17-04-SDP|144|186,144,186,True,True,True,3.3651797771,134.09425354,130.430770874,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
109,cohort_gap,MOT17-04-SDP,MOT17-04-SDP|148|184,148,184,True,True,True,1.7241760492,173.8485107422,132.247177124,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
110,cohort_gap,MOT17-04-SDP,MOT17-04-SDP|148|185,148,185,True,True,True,1.5973274708,173.6686553955,135.6901855469,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
111,cohort_gap,MOT17-04-SDP,MOT17-04-SDP|148|186,148,186,True,True,True,1.564337492,173.4364013672,130.430770874,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
112,cohort_gap,MOT17-04-SDP,MOT17-04-SDP|148|188,148,188,True,True,True,0.1040716767,174.7654418945,168.1577606201,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
113,cohort_gap,MOT17-04-SDP,MOT17-04-SDP|157|187,157,187,True,True,True,2.2942330837,173.9802856445,145.0125274658,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
114,cohort_gap,MOT17-04-SDP,MOT17-04-SDP|162|175,162,175,True,True,True,10.4316425323,154.1047058105,157.0724029541,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
115,cohort_gap,MOT17-04-SDP,MOT17-04-SDP|162|182,162,182,True,True,True,0.1366280913,173.8645172119,161.7227172852,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
116,cohort_gap,MOT17-04-SDP,MOT17-04-SDP|162|183,162,183,True,True,True,0.5414589047,173.8645172119,173.2182922363,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
117,cohort_gap,MOT17-04-SDP,MOT17-04-SDP|162|184,162,184,True,True,True,1.899697423,174.6311950684,132.247177124,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
118,cohort_gap,MOT17-04-SDP,MOT17-04-SDP|165|195,165,195,True,True,True,1.1610825062,160.3834075928,126.1099624634,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
119,cohort_gap,MOT17-04-SDP,MOT17-04-SDP|165|207,165,207,True,True,True,2.4019510746,160.3834075928,130.7700195312,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
120,cohort_gap,MOT17-04-SDP,MOT17-04-SDP|178|181,178,181,True,True,True,9.0950889587,163.7438812256,168.1474304199,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
121,cohort_gap,MOT17-04-SDP,MOT17-04-SDP|183|185,183,185,True,True,True,1.4647397995,175.675567627,135.6901855469,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
122,cohort_gap,MOT17-04-SDP,MOT17-04-SDP|183|187,183,187,True,True,True,1.7079242468,176.2843170166,145.0125274658,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
123,cohort_gap,MOT17-04-SDP,MOT17-04-SDP|186|187,186,187,True,True,True,1.0285966396,130.8104248047,145.0125274658,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
124,cohort_gap,MOT17-04-SDP,MOT17-04-SDP|186|189,186,189,True,True,True,11.3488197327,137.05909729,151.723739624,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
125,cohort_gap,MOT17-04-SDP,MOT17-04-SDP|186|190,186,190,True,True,True,10.8647203445,137.05909729,151.7520141602,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
126,cohort_gap,MOT17-04-SDP,MOT17-04-SDP|187|188,187,188,True,True,True,1.5311976671,144.6810150146,168.1577606201,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
127,cohort_gap,MOT17-04-SDP,MOT17-04-SDP|188|190,188,190,True,True,True,9.0059843063,172.7145385742,151.7520141602,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
128,cohort_gap,MOT17-04-SDP,MOT17-04-SDP|188|191,188,191,True,True,True,5.5561404228,172.3995056152,142.2897186279,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
129,cohort_gap,MOT17-04-SDP,MOT17-04-SDP|188|193,188,193,True,True,True,6.9909486771,172.205871582,148.6184692383,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
130,cohort_gap,MOT17-04-SDP,MOT17-04-SDP|201|205,201,205,True,True,True,0.3917153478,241.5092926025,261.3440856934,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
131,cohort_gap,MOT17-05-SDP,MOT17-05-SDP|219|274,219,274,True,True,True,0.1722293645,486.1885681152,300.9195861816,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
132,cohort_gap,MOT17-05-SDP,MOT17-05-SDP|220|226,220,226,True,True,True,4.3590421677,74.285774231,65.9155807495,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
133,cohort_gap,MOT17-05-SDP,MOT17-05-SDP|224|229,224,229,True,True,True,2.8395051956,72.5921859741,71.9219741821,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
134,cohort_gap,MOT17-05-SDP,MOT17-05-SDP|224|230,224,230,True,True,True,2.5078396797,72.5921859741,85.5758743286,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
135,cohort_gap,MOT17-05-SDP,MOT17-05-SDP|224|233,224,233,True,True,True,4.6018929482,79.148399353,61.196269989,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
136,cohort_gap,MOT17-05-SDP,MOT17-05-SDP|225|226,225,226,True,True,True,2.134165287,73.3690261841,65.9155807495,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
137,cohort_gap,MOT17-05-SDP,MOT17-05-SDP|228|257,228,257,True,True,True,0.2974338233,216.6033782959,163.1485748291,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
138,cohort_gap,MOT17-05-SDP,MOT17-05-SDP|228|259,228,259,True,True,True,0.0932387784,216.6033782959,284.5318908691,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
139,cohort_gap,MOT17-05-SDP,MOT17-05-SDP|228|260,228,260,True,True,True,0.0519302636,216.6033782959,164.326385498,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
140,cohort_gap,MOT17-05-SDP,MOT17-05-SDP|228|263,228,263,True,True,True,0.6022862792,216.6033782959,207.0012969971,absent,False,structurally unjoinable,same_global_pair_absent_from_offline_universe
